pattern_id,feature,condition,support_count,support_pct,true_count,false_count,true_rate,false_rate,base_true_rate,lift_TRUE,lift_FALSE,purity,direction,z_score,approx_p_value,confidence,log_odds_ratio_vs_rest,abs_log_odds_ratio
raw_token_count__lte_p05,raw_token_count,raw_token_count <= p05 (12),373,0.07612244897959183,31,342,0.08310991957104558,0.9168900804289544,0.2857142857142857,0.29088471849865954,1.283646112600536,0.9168900804289544,FALSE,-8.66166247223025,4.6493326456762254e-18,1.0,-1.5506325902350704,1.5506325902350704
char_entropy__lte_p05,char_entropy,char_entropy <= p05 (3.98924),245,0.05,20,225,0.08163265306122448,0.9183673469387755,0.2857142857142857,0.2857142857142857,1.2857142857142858,0.9183673469387755,FALSE,-7.071067811865475,1.5374597944280487e-12,0.9999999999984626,-1.5338704959966485,1.5338704959966485
token_entropy__lte_p10,token_entropy,token_entropy <= p10 (3.66388),490,0.1,43,447,0.08775510204081632,0.9122448979591836,0.2857142857142857,0.30714285714285716,1.2771428571428571,0.9122448979591836,FALSE,-9.7,3.0149863376204344e-22,1.0,-1.5202718987651727,1.5202718987651727
"token_entropy__quantile_(3.875,4.17]",token_entropy,"token_entropy in quantile bin (3.875, 4.17]",959,0.1957142857142857,95,864,0.09906152241918666,0.9009384775808134,0.2857142857142857,0.3467153284671533,1.2613138686131387,0.9009384775808134,FALSE,-12.795043520290635,1.7475454634652302e-37,1.0,-1.5001588868053197,1.5001588868053197
"compression_ratio__quantile_(0.918,1.5]",compression_ratio,"compression_ratio in quantile bin (0.918, 1.5]",980,0.2,98,882,0.1,0.9,0.2857142857142857,0.35000000000000003,1.26,0.9,FALSE,-12.869343417595163,6.696900427988825e-38,1.0,-1.4943861005373882,1.4943861005373882
compression_ratio__gte_p95,compression_ratio,compression_ratio >= p95 (1.04225),248,0.05061224489795919,22,226,0.08870967741935484,0.9112903225806451,0.2857142857142857,0.310483870967742,1.275806451612903,0.9112903225806451,FALSE,-6.867525262116365,6.532518742194018e-12,0.9999999999934674,-1.4440604015184575,1.4440604015184575
compression_ratio__gte_p90,compression_ratio,compression_ratio >= p90 (0.987179),491,0.10020408163265306,47,444,0.09572301425661914,0.9042769857433809,0.2857142857142857,0.335030549898167,1.2659877800407333,0.9042769857433809,FALSE,-9.319067023221766,1.1736777326736296e-20,1.0,-1.4216437034989395,1.4216437034989395
max_word_length__lte_p05,max_word_length,max_word_length <= p05 (7),272,0.05551020408163265,25,247,0.09191176470588236,0.9080882352941176,0.2857142857142857,0.32169117647058826,1.2713235294117646,0.9080882352941176,FALSE,-7.075252022116991,1.4917739773902219e-12,0.9999999999985082,-1.411818091273955,1.411818091273955
hapax_token_ratio__lte_p05,hapax_token_ratio,hapax_token_ratio <= p05 (0),1179,0.24061224489795918,134,1045,0.11365564037319763,0.8863443596268024,0.2857142857142857,0.39779474130619175,1.2408821034775233,0.8863443596268024,FALSE,-13.077702147894389,4.4158835305719256e-39,1.0,-1.388613103789225,1.388613103789225
hapax_token_ratio__lte_p10,hapax_token_ratio,hapax_token_ratio <= p10 (0),1179,0.24061224489795918,134,1045,0.11365564037319763,0.8863443596268024,0.2857142857142857,0.39779474130619175,1.2408821034775233,0.8863443596268024,FALSE,-13.077702147894389,4.4158835305719256e-39,1.0,-1.388613103789225,1.388613103789225
hapax_token_ratio__eq_0,hapax_token_ratio,hapax_token_ratio == 0,1179,0.24061224489795918,134,1045,0.11365564037319763,0.8863443596268024,0.2857142857142857,0.39779474130619175,1.2408821034775233,0.8863443596268024,FALSE,-13.077702147894389,4.4158835305719256e-39,1.0,-1.388613103789225,1.388613103789225
"char_length__quantile_(96.0,122.0]",char_length,"char_length in quantile bin (96.0, 122.0]",967,0.1973469387755102,108,859,0.11168562564632885,0.8883143743536711,0.2857142857142857,0.390899689762151,1.2436401240951396,0.8883143743536711,FALSE,-11.979316887537339,4.5606610276554045e-33,1.0,-1.3548320416206034,1.3548320416206034
"byte_length__quantile_(96.0,123.0]",byte_length,"byte_length in quantile bin (96.0, 123.0]",1000,0.20408163265306123,113,887,0.113,0.887,0.2857142857142857,0.3955,1.2418,0.887,FALSE,-12.09,1.1928672458153326e-33,1.0,-1.3486177188130282,1.3486177188130282
max_repeated_char_run__lte_p05,max_repeated_char_run,max_repeated_char_run <= p05 (1),431,0.08795918367346939,46,385,0.10672853828306264,0.8932714617169374,0.2857142857142857,0.37354988399071926,1.2505800464037122,0.8932714617169374,FALSE,-8.225363975472593,1.945990015904006e-16,0.9999999999999998,-1.2821316099509468,1.2821316099509468
token_entropy__lte_p05,token_entropy,token_entropy <= p05 (3.45943),289,0.05897959183673469,31,258,0.10726643598615918,0.8927335640138409,0.2857142857142857,0.37543252595155713,1.2498269896193772,0.8927335640138409,FALSE,-6.715189619534028,1.8782181427776335e-11,0.9999999999812178,-1.2430092206294303,1.2430092206294303
stopword_ratio__gte_p95,stopword_ratio,stopword_ratio >= p95 (0.5625),265,0.05408163265306123,32,233,0.12075471698113208,0.879245283018868,0.2857142857142857,0.4226415094339623,1.2309433962264151,0.879245283018868,FALSE,-5.944269477626456,2.776924520756084e-09,0.9999999972230755,-1.1016320707556169,1.1016320707556169
"word_count__quantile_(16.0,20.0]",word_count,"word_count in quantile bin (16.0, 20.0]",861,0.1757142857142857,116,745,0.13472706155632985,0.8652729384436701,0.2857142857142857,0.4715447154471545,1.2113821138211383,0.8652729384436701,FALSE,-9.807082226055712,1.0495956999475769e-22,1.0,-1.092934484425686,1.092934484425686
"raw_token_count__quantile_(16.0,20.0]",raw_token_count,"raw_token_count in quantile bin (16.0, 20.0]",889,0.18142857142857144,124,765,0.13948256467941508,0.8605174353205849,0.2857142857142857,0.48818897637795283,1.2047244094488188,0.8605174353205849,FALSE,-9.651404369272512,4.848709667919796e-22,1.0,-1.054031222370634,1.054031222370634
max_word_length__lte_p10,max_word_length,max_word_length <= p10 (8),687,0.14020408163265305,93,594,0.13537117903930132,0.8646288209606987,0.2857142857142857,0.47379912663755464,1.210480349344978,0.8646288209606987,FALSE,-8.722880618706734,2.7121217323988856e-18,1.0,-1.050926588633868,1.050926588633868
token_entropy__gte_p95,token_entropy,token_entropy >= p95 (5),246,0.05020408163265306,170,76,0.6910569105691057,0.3089430894308943,0.2857142857142857,2.41869918699187,0.43252032520325207,0.6910569105691057,TRUE,14.073038282619182,5.562717655771354e-45,1.0,1.8249794406979307,1.8249794406979307
token_entropy__gte_p90,token_entropy,token_entropy >= p90 (4.875),502,0.10244897959183673,323,179,0.6434262948207171,0.3565737051792829,0.2857142857142857,2.25199203187251,0.49920318725099605,0.6434262948207171,TRUE,17.741217455765234,2.015210950592612e-70,1.0,1.7147968511400147,1.7147968511400147
"token_entropy__quantile_(4.685,6.523]",token_entropy,"token_entropy in quantile bin (4.685, 6.523]",980,0.2,576,404,0.5877551020408164,0.4122448979591837,0.2857142857142857,2.0571428571428574,0.5771428571428572,0.5877551020408164,TRUE,20.93036072312181,2.8334416144044e-97,1.0,1.6775741815890293,1.6775741815890293
char_length__gte_p90,char_length,char_length >= p90 (220),492,0.10040816326530612,301,191,0.6117886178861789,0.3882113821138211,0.2857142857142857,2.1412601626016263,0.5434959349593496,0.6117886178861789,TRUE,16.010216504480045,1.0843185321828792e-57,1.0,1.555823797110701,1.555823797110701
